transaction_id,transaction_date,department,cost_center,transaction_type,vendor_name,amount,payment_mode,invoice_id,employee_id,year_month,is_missing_key_field,is_high_value,is_cash_high_value,is_duplicate_invoice,z_score,is_statistical_anomaly,audit_flag_count,audit_status
TX00195,2025-03-23,Sales,CC401,Expense,Epsilon Tech,418129.86,Cash,INV11013,EMP125,2025-03,False,True,True,False,3.3077522128795915,True,3,Review
TX00344,2025-08-15,Finance,CC301,Revenue,Bright Systems,296401.26,Cash,INV12532,EMP182,2025-08,False,True,True,False,3.5002037605923215,True,3,Review
TX00609,2025-11-09,HR,CC102,Revenue,Bright Systems,1180405.92,UPI,INV12885,EMP147,2025-11,False,True,False,False,4.540474398234993,True,2,Review
TX00341,2025-06-06,HR,CC101,Revenue,Delta Services,559862.04,UPI,INV10531,EMP163,2025-06,False,True,False,False,4.704421320817388,True,2,Review
TX00600,2025-10-10,HR,CC102,Revenue,CareMed,550063.62,Card,INV10396,EMP102,2025-10,False,True,False,False,4.173959017438712,True,2,Review
TX00152,2025-09-21,Finance,CC301,Expense,Epsilon Tech,471480.78,Card,INV12338,EMP143,2025-09,False,True,False,False,3.880167747759134,True,2,Review
TX00756,2025-06-24,IT,CC501,Expense,Bright Systems,413209.32,Card,INV10600,EMP160,2025-06,False,True,False,False,4.213092174315108,True,2,Review
TX00997,2025-03-19,HR,CC301,Expense,Alpha Supplies,400903.86,Cash,INV10141,EMP185,2025-03,False,True,True,False,2.0848816693174417,False,2,Review
TX00376,2025-07-22,HR,CC401,Expense,Bright Systems,392993.88,Bank Transfer,INV10480,EMP100,2025-07,False,True,False,False,3.897241462666924,True,2,Review
TX00621,2025-02-13,HR,CC201,Revenue,Delta Services,325107.9,UPI,INV10145,EMP106,2025-02,False,True,False,False,3.9168078027628552,True,2,Review
TX01024,2025-07-05,Finance,CC301,Revenue,Bright Systems,308614.19,Card,INV11516,EMP165,2025-07,False,True,False,False,4.207250292512178,True,2,Review
TX01135,2025-01-22,Finance,CC102,Revenue,Alpha Supplies,241235.74,Bank Transfer,INV11168,EMP170,2025-01,False,True,False,False,3.1149232802785796,True,2,Review
TX00912,2025-07-05,Sales,CC301,Expense,FastLogix,234543.72,Cash,INV10743,EMP145,2025-07,False,True,True,False,2.9881496816730433,False,2,Review
TX00446,2025-09-18,HR,CC301,Revenue,CareMed,222230.53,UPI,INV12589,EMP129,2025-09,False,True,False,False,3.0555884572200953,True,2,Review
TX00374,2025-12-03,IT,CC501,Revenue,FastLogix,213743.13,Cash,INV11567,EMP109,2025-12,False,True,True,False,2.363540873053917,False,2,Review
TX00580,2025-08-20,Operations,CC501,Expense,Alpha Supplies,166333.55,Cash,INV10501,EMP179,2025-08,False,True,True,False,2.8951572968631467,False,2,Review
TX00239,2025-12-19,HR,CC401,Revenue,Delta Services,151809.52,Cash,INV10858,EMP145,2025-12,False,True,True,False,1.2430275698723787,False,2,Review
TX00649,2025-05-22,HR,CC102,Revenue,Delta Services,150438.79,Cash,INV10806,EMP134,2025-05,False,True,True,False,1.8168863218790963,False,2,Review
TX00281,2025-08-01,Finance,CC401,Expense,Delta Services,133544.48,Cash,INV12204,EMP127,2025-08,False,False,True,True,0.904139041591757,False,2,Review
DUP013,2025-08-01,Finance,CC401,Expense,Delta Services,133544.48,Cash,INV12204,EMP127,2025-08,False,False,True,True,0.904139041591757,False,2,Review
TX00695,2025-12-18,Sales,CC101,Expense,Delta Services,59603.97,Cash,INV11996,EMP117,2025-12,False,False,True,True,-0.1873396395466523,False,2,Review
DUP018,2025-12-18,Sales,CC101,Expense,Delta Services,59603.97,Cash,INV11996,EMP117,2025-12,False,False,True,True,-0.1873396395466523,False,2,Review
TX01133,2025-09-01,Sales,CC301,Expense,CareMed,54454.03,Cash,INV10332,EMP113,2025-09,False,False,True,True,0.000416507185279156,False,2,Review
DUP010,2025-09-01,Sales,CC301,Expense,CareMed,54454.03,Cash,INV10332,EMP113,2025-09,False,False,True,True,0.000416507185279156,False,2,Review
TX00431,2025-03-17,HR,CC201,Expense,FastLogix,449477.88,UPI,INV12298,EMP183,2025-03,False,True,False,False,2.463387599844166,False,1,Review
TX00516,2025-03-02,HR,CC401,Expense,Epsilon Tech,435181.08,Bank Transfer,INV10523,EMP151,2025-03,False,True,False,False,2.35198188157019,False,1,Review
TX00039,2025-03-09,HR,CC102,Expense,Epsilon Tech,326186.1,Bank Transfer,INV10728,EMP120,2025-03,False,True,False,False,1.5026544771749668,False,1,Review
TX00308,2025-11-20,Sales,CC501,Revenue,FastLogix,314908.91,Card,INV12240,EMP168,2025-11,False,True,False,False,2.525471366760954,False,1,Review
TX00437,2025-12-09,HR,CC201,Revenue,CareMed,249715.31,UPI,INV12853,EMP142,2025-12,False,True,False,False,2.9008597740718245,False,1,Review
TX01096,2025-04-15,Operations,CC102,Revenue,FastLogix,235146.44,Bank Transfer,INV11271,EMP108,2025-04,False,True,False,False,2.2543213268145137,False,1,Review
TX00814,2025-11-18,IT,CC501,Expense,Alpha Supplies,230318.34,Card,INV12428,EMP108,2025-11,False,True,False,False,2.649784979498853,False,1,Review
TX00096,2025-05-11,Operations,CC401,Revenue,Alpha Supplies,225096.43,Bank Transfer,INV10341,EMP184,2025-05,False,True,False,False,2.9545915085830066,False,1,Review
TX00728,2025-01-26,Operations,CC101,Revenue,Bright Systems,224062.58,Bank Transfer,INV10071,EMP133,2025-01,False,True,False,False,2.8257021391581323,False,1,Review
TX00477,2025-10-07,HR,CC102,Revenue,CareMed,215832.99,Bank Transfer,INV11850,EMP159,2025-10,False,True,False,False,1.137666560581501,False,1,Review
TX01060,2025-11-24,Sales,CC501,Revenue,Bright Systems,209305.88,Bank Transfer,INV12487,EMP139,2025-11,False,True,False,False,1.331404015706575,False,1,Review
TX00763,2025-03-13,Operations,CC401,Expense,Bright Systems,207316.14,Bank Transfer,INV11485,EMP179,2025-03,False,True,False,False,2.4469546315436874,False,1,Review
TX00296,2025-02-24,IT,CC101,Revenue,Epsilon Tech,199672.25,UPI,INV11132,EMP159,2025-02,False,True,False,False,2.1307831762712386,False,1,Review
