year_month,department,transaction_type,amount,previous_month_amount,variance,variance_pct
2025-01,Finance,Expense,622935.31,,,
2025-02,Finance,Expense,845007.76,622935.31,222072.44999999995,35.64935980270567
2025-03,Finance,Expense,591907.96,845007.76,-253099.80000000005,-29.95236398775794
2025-04,Finance,Expense,456386.58,591907.96,-135521.37999999995,-22.89568466016236
2025-05,Finance,Expense,1132238.03,456386.58,675851.45,148.08749415900877
2025-06,Finance,Expense,797809.85,1132238.03,-334428.18000000005,-29.5369146008989
2025-07,Finance,Expense,1041011.72,797809.85,243201.87,30.48368856313318
2025-08,Finance,Expense,1217382.7,1041011.72,176370.97999999998,16.942266509737276
2025-09,Finance,Expense,1136809.78,1217382.7,-80572.91999999993,-6.61853663601429
2025-10,Finance,Expense,532888.11,1136809.78,-603921.67,-53.12425003943931
2025-11,Finance,Expense,949491.83,532888.11,416603.72,78.17846039011829
2025-12,Finance,Expense,801317.51,949491.83,-148174.31999999995,-15.60564454777878
2025-01,Finance,Revenue,877381.89,,,
2025-02,Finance,Revenue,340446.13,877381.89,-536935.76,-61.197497477409755
2025-03,Finance,Revenue,153553.33,340446.13,-186892.80000000002,-54.89643838806452
2025-04,Finance,Revenue,409445.28,153553.33,255891.95000000004,166.64695581658833
2025-05,Finance,Revenue,245774.92,409445.28,-163670.36000000002,-39.97368341869761
2025-06,Finance,Revenue,263066.77,245774.92,17291.850000000006,7.035644645922377
2025-07,Finance,Revenue,1046942.36,263066.77,783875.59,297.9759055087041
2025-08,Finance,Revenue,703264.14,1046942.36,-343678.22,-32.82685209145611
2025-09,Finance,Revenue,175269.90000000002,703264.14,-527994.24,-75.07765716591209
2025-10,Finance,Revenue,213776.1,175269.90000000002,38506.19999999998,21.96965936535593
2025-11,Finance,Revenue,436273.11,213776.1,222497.00999999998,104.07945977122792
2025-12,Finance,Revenue,433053.25,436273.11,-3219.859999999986,-0.7380376938656581
2025-01,HR,Expense,728382.5599999999,,,
2025-02,HR,Expense,612714.18,728382.5599999999,-115668.37999999989,-15.880168794815722
2025-03,HR,Expense,2648526.9,612714.18,2035812.7199999997,332.2614012295259
2025-04,HR,Expense,604290.8,2648526.9,-2044236.0999999999,-77.18389041092993
2025-05,HR,Expense,1416759.54,604290.8,812468.74,134.44996018473222
2025-06,HR,Expense,1016404.19,1416759.54,-400355.3500000001,-28.258525084644926
2025-07,HR,Expense,1090950.73,1016404.19,74546.54000000004,7.334340091612574
2025-08,HR,Expense,270817.42,1090950.73,-820133.31,-75.17601734406466
2025-09,HR,Expense,645976.9,270817.42,375159.48000000004,138.52856289672948
2025-10,HR,Expense,844187.74,645976.9,198210.83999999997,30.683889779959618
2025-11,HR,Expense,646363.47,844187.74,-197824.27000000002,-23.433681943781846
2025-12,HR,Expense,879681.39,646363.47,233317.92000000004,36.097015197965945
2025-01,HR,Revenue,600986.62,,,
2025-02,HR,Revenue,671515.39,600986.62,70528.77000000002,11.735497539030074
2025-03,HR,Revenue,551850.2,671515.39,-119665.19000000006,-17.82017088245737
2025-04,HR,Revenue,796565.15,551850.2,244714.95000000007,44.34445253440156
2025-05,HR,Revenue,1314641.05,796565.15,518075.9,65.03873537525462
2025-06,HR,Revenue,1109067.3699999999,1314641.05,-205573.68000000017,-15.637247901242713
2025-07,HR,Revenue,391314.94,1109067.3699999999,-717752.4299999999,-64.71675656637522
2025-08,HR,Revenue,566347.0,391314.94,175032.06,44.72920456346491
2025-09,HR,Revenue,857798.49,566347.0,291451.49,51.46164630518039
2025-10,HR,Revenue,1330219.94,857798.49,472421.44999999995,55.07370967743251
2025-11,HR,Revenue,1586610.65,1330219.94,256390.70999999996,19.274309630330755
2025-12,HR,Revenue,688331.52,1586610.65,-898279.1299999999,-56.61622969693288
2025-01,IT,Expense,1231781.35,,,
2025-02,IT,Expense,632226.08,1231781.35,-599555.2700000001,-48.67383890817961
2025-03,IT,Expense,535454.0,632226.08,-96772.07999999996,-15.30656248789989
2025-04,IT,Expense,997721.54,535454.0,462267.54000000004,86.33188658596256
2025-05,IT,Expense,530415.47,997721.54,-467306.07000000007,-46.837323969170804
2025-06,IT,Expense,1493953.8599999999,530415.47,963538.3899999999,181.65729404536407
2025-07,IT,Expense,471189.64,1493953.8599999999,-1022764.2199999999,-68.46022808227825
2025-08,IT,Expense,965922.4,471189.64,494732.76,104.99652751278657
2025-09,IT,Expense,719301.32,965922.4,-246621.08000000007,-25.53218353772519
2025-10,IT,Expense,707964.11,719301.32,-11337.209999999963,-1.5761419706556306
2025-11,IT,Expense,825698.27,707964.11,117734.16000000003,16.629961651587116
2025-12,IT,Expense,509143.39,825698.27,-316554.88,-38.33783980194121
2025-01,IT,Revenue,845050.33,,,
2025-02,IT,Revenue,783638.79,845050.33,-61411.53999999992,-7.267205019611072
2025-03,IT,Revenue,467707.63,783638.79,-315931.16000000003,-40.315916469627545
