transaction_id,transaction_date,department,cost_center,transaction_type,vendor_name,amount,payment_mode,invoice_id,employee_id
TX00001,2025-07-20,IT,CC201,Revenue,Epsilon Tech,80908.84,Card,INV10130,EMP121
TX00002,2025-05-02,HR,CC501,Expense,Delta Services,33087.62,Bank Transfer,INV10474,EMP158
TX00003,2025-10-28,HR,CC501,Expense,FastLogix,25639.05,Card,INV12879,EMP102
TX00004,2025-05-19,IT,CC101,Expense,Delta Services,50850.76,Bank Transfer,INV12945,EMP183
TX00005,2025-12-15,HR,CC301,Expense,CareMed,70307.23,Bank Transfer,INV11021,EMP105
TX00006,2025-06-10,HR,CC501,Expense,Bright Systems,54717.71,Bank Transfer,INV11275,EMP161
TX00007,2025-08-21,IT,CC102,Expense,Bright Systems,78863.27,Card,INV10492,EMP140
TX00008,2025-01-25,Finance,CC101,Expense,CareMed,69237.96,Card,INV12278,EMP140
TX00009,2025-12-07,Finance,CC301,Expense,FastLogix,25976.49,Cash,INV11895,EMP185
TX00010,2025-11-03,Finance,CC201,Expense,FastLogix,63105.08,Bank Transfer,INV12842,EMP108
TX00011,2025-10-10,HR,CC401,Expense,Alpha Supplies,73051.59,Card,INV11757,EMP122
TX00012,2025-07-13,Sales,CC401,Expense,CareMed,71847.17,Bank Transfer,INV12693,EMP127
TX00013,2025-12-12,HR,CC301,Revenue,CareMed,76860.29,Bank Transfer,INV11306,EMP161
TX00014,2025-09-20,IT,CC101,Expense,FastLogix,26867.28,Bank Transfer,INV11257,EMP143
TX00015,2025-08-15,Sales,CC501,Expense,Alpha Supplies,31036.05,Bank Transfer,INV11636,EMP155
TX00016,2025-01-27,Finance,CC102,Expense,FastLogix,43822.04,Bank Transfer,INV12432,EMP118
TX00017,2025-02-21,HR,CC102,Revenue,Delta Services,62473.95,Card,INV10197,EMP185
TX00018,2025-11-16,Finance,CC101,Expense,FastLogix,75154.08,Bank Transfer,INV11369,EMP166
TX00019,2025-03-20,HR,CC101,Expense,Bright Systems,61833.04,Card,INV12520,EMP149
TX00020,2025-07-10,Sales,CC301,Expense,Alpha Supplies,51582.86,Card,INV11183,EMP108
TX00021,2025-09-03,Sales,CC201,Revenue,FastLogix,163145.08,UPI,INV10253,EMP188
TX00022,2025-03-25,IT,CC102,Expense,Bright Systems,28050.54,Bank Transfer,INV10397,EMP120
TX00023,2025-04-24,Sales,CC101,Expense,Delta Services,150627.47,Card,INV12277,EMP150
TX00024,2025-06-08,Sales,CC201,Revenue,FastLogix,138682.72,Card,INV10546,EMP163
TX00025,2025-01-17,HR,CC301,Expense,FastLogix,60549.24,Bank Transfer,INV11768,EMP136
TX00026,2025-08-17,IT,CC201,Revenue,Delta Services,36590.97,Bank Transfer,INV11816,EMP153
TX00027,2025-10-03,Operations,CC501,Expense,CareMed,23726.2,Bank Transfer,INV10245,EMP147
TX00028,2025-07-10,Operations,CC201,Expense,Epsilon Tech,20947.41,Bank Transfer,INV10035,EMP144
TX00029,2025-04-01,HR,CC201,Expense,Delta Services,15189.67,Bank Transfer,INV10574,EMP161
TX00030,2025-06-26,Operations,CC501,Expense,Bright Systems,134074.03,Bank Transfer,INV12491,EMP107
TX00031,2025-05-28,HR,CC301,Expense,Delta Services,37389.88,Card,INV12983,EMP151
